debate_section_id,question_date,recipient,question_count,answer_chars,classification_json,validation_errors,input_tokens,output_tokens,total_tokens
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-04/writtens/dbsect_557,2025-03-04,Health,2,207,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-04/pq_655"",""topic_tags"":[""health_general""],""question_intents"":[""request_policy_status"",""request_timeline_or_deadline"",""request_implementation_status""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-04/pq_656"",""topic_tags"":[""health_staffing""],""question_intents"":[""request_statistics_or_data"",""request_implementation_status"",""request_timeline_or_deadline"",""request_staffing_or_capacity""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""health_general""],""answer_characteristics"":[""referred_to_another_body"",""direct_reply_promised_by_another_body"",""no_substantive_answer""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""health_general"",""health_staffing""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3080,351,3431
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-04/writtens/dbsect_641,2025-03-04,Health,2,5440,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-04/pq_745"",""topic_tags"":[""public_health"",""medicines_pharmacy"",""health_staffing""],""question_intents"":[""request_action_or_intervention"",""request_staffing_or_capacity""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-04/pq_746"",""topic_tags"":[""public_health"",""medicines_pharmacy"",""primary_care""],""question_intents"":[""request_policy_position"",""request_action_or_intervention""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""public_health"",""medicines_pharmacy"",""primary_care"",""health_staffing"",""budget""],""answer_characteristics"":[""factual_information_supplied"",""statistics_or_figures_supplied"",""funding_or_cost_figures_supplied"",""implementation_status_update"",""future_action_or_commitment"",""timeline_or_deadline_stated"",""referred_to_another_body"",""direct_reply_promised_by_another_body"",""previous_pq_or_previous_answer_referenced""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""public_health"",""medicines_pharmacy"",""health_staffing"",""primary_care"",""budget""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,4148,381,4529
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-05/writtens/dbsect_109,2025-03-05,Tourism,1,1446,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-05/pq_97"",""topic_tags"":[""sport""],""question_intents"":[""request_policy_position"",""request_funding_or_cost""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""sport"",""public_spending""],""answer_characteristics"":[""factual_information_supplied"",""statistics_or_figures_supplied"",""funding_or_cost_figures_supplied"",""policy_explanation"",""implementation_status_update""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""sport"",""public_spending""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3222,125,3347
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-05/writtens/dbsect_206,2025-03-05,Health,1,0,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-05/pq_199"",""topic_tags"":[""mental_health""],""question_intents"":[""request_policy_status"",""request_staffing_or_capacity"",""request_funding_or_cost""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[],""answer_characteristics"":[""no_substantive_answer""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""mental_health""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,2996,226,3222
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-05/writtens/dbsect_50,2025-03-05,Transport,3,1931,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-05/pq_20"",""topic_tags"":[""public_transport"",""equality_discrimination""],""question_intents"":[""request_review_or_investigation"",""request_action_or_intervention""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-05/pq_29"",""topic_tags"":[""public_transport"",""equality_discrimination""],""question_intents"":[""request_statistics_or_data"",""request_review_or_investigation""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-05/pq_30"",""topic_tags"":[""public_transport"",""equality_discrimination""],""question_intents"":[""request_action_or_intervention"",""request_policy_status""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""public_transport"",""equality_discrimination"",""state_agencies""],""answer_characteristics"":[""factual_information_supplied"",""policy_position_stated"",""future_action_or_commitment"",""information_not_held_or_unavailable"",""legislation_or_regulation_discussed"",""implementation_status_update""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""public_transport"",""equality_discrimination"",""state_agencies""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3476,729,4205
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-06/writtens/dbsect_188,2025-03-06,Health,1,646,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-06/pq_174"",""topic_tags"":[""primary_care""],""question_intents"":[""request_action_or_intervention"",""request_case_or_local_service_update""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""primary_care""],""answer_characteristics"":[""factual_information_supplied"",""policy_explanation"",""referred_to_another_body"",""direct_reply_promised_by_another_body""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""primary_care""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3094,124,3218
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/dbsect_1419,2025-03-19,Health,1,197,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-19/pq_1679"",""topic_tags"":[""health_staffing"",""taxation""],""question_intents"":[""request_action_or_intervention"",""request_policy_position""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[],""answer_characteristics"":[""referred_to_another_body"",""direct_reply_promised_by_another_body""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""health_staffing"",""taxation""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3009,111,3120
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-20/writtens/dbsect_396,2025-03-20,Children,2,465,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-20/pq_402"",""topic_tags"":[""disability_services""],""question_intents"":[""request_action_or_intervention"",""request_case_or_local_service_update""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-20/pq_433"",""topic_tags"":[""disability_services""],""question_intents"":[""request_action_or_intervention"",""request_case_or_local_service_update""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""disability_services""],""answer_characteristics"":[""factual_information_supplied"",""legislation_or_regulation_discussed"",""referred_to_another_body"",""direct_reply_promised_by_another_body""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""disability_services""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3160,327,3487
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-20/writtens/dbsect_438,2025-03-20,Health,1,171,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-20/pq_445"",""topic_tags"":[""child_health"",""mental_health""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[],""answer_characteristics"":[""referred_to_another_body"",""direct_reply_promised_by_another_body""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""child_health"",""mental_health""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,2966,104,3070
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-25/writtens/dbsect_692,2025-03-25,Rural,1,1000,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-25/pq_906"",""topic_tags"":[""digital_services"",""equality_discrimination"",""data_statistics""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""digital_services"",""equality_discrimination"",""data_statistics""],""answer_characteristics"":[""statistics_or_figures_supplied"",""factual_information_supplied"",""referred_to_another_body"",""table_or_structured_data_present""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""digital_services"",""equality_discrimination"",""data_statistics""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3175,131,3306
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-26/writtens/dbsect_51,2025-03-26,Taoiseach,2,997,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-26/pq_3"",""topic_tags"":[""international_relations""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-03-26/pq_4"",""topic_tags"":[""international_relations""],""question_intents"":[""request_statistics_or_data""],""proposed_new_tags"":[]}],""answer"":{""topic_tags"":[""international_relations""],""answer_characteristics"":[""factual_information_supplied"",""statistics_or_figures_supplied""],""proposed_new_tags"":[]},""combined_exchange"":{""topic_tags"":[""international_relations""],""proposed_new_tags"":[],""topic_evidence"":[]}}",,3216,331,3547
