review_id,debate_section_id,question_id,question_no,question_date,asked_by_name,to_minister_or_department,question_text,human_topic_tags_json,human_question_intents_json,human_missing_topic_notes,reviewer_notes
WPQG011,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_312,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_317,317,2025-01-22,Barry Ward,Finance,317. Deputy Barry Ward asked the Minister for Finance if he will give consideration to a tax incentive for new gardaí to support recruitment efforts.  [1822/25],,,,
WPQG012,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_350,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_357,357,2025-01-22,John Connolly,Public Expenditure,"357. Deputy John Connolly asked the Minister for Public Expenditure, National Development Plan Delivery and Reform if discussions with the respective landowner regarding the acquisition of a site, for the development of the Cleggan Coast Guard station have concluded; and if he will make a statement on the matter. [1509/25]",,,,
WPQG013,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_406,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_413,413,2025-01-22,Pa Daly,Enterprise,413. Deputy Pa Daly asked the Minister for Enterprise; Trade and Employment the measures the incoming Government plans to introduce to regulate the use of artificial intelligence; and if he will make a statement on the matter. [1739/25],,,,
WPQG014,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_447,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_463,463,2025-01-22,Barry Ward,Education,"463. Deputy Barry Ward asked the Minister for Education if she will increase provision to improve Gaeloideachas, including possible tax incentives for teachers who teach through Irish only in all-Irish medium schools; and if she will make a statement on the matter. [2013/25]",,,,
WPQG015,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_638,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_666,666,2025-01-22,Pa Daly,Education,666. Deputy Pa Daly asked the Minister for Education the number of school transport places available in Kerry in each of the years 2019 to date; and if she will make a statement on the matter. [1999/25],,,,
WPQG016,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_651,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_677,677,2025-01-22,Holly Cairns,Tourism,"677. Deputy Holly Cairns asked the Minister for Tourism, Culture, Arts, Gaeltacht, Sport and Media the current number of registered short-term lets (details supplied), by local area, in tabular form. [1962/25]",,,,
WPQG017,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_679,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_706,706,2025-01-22,Michael Fitzmaurice,Housing,"706. Deputy Michael Fitzmaurice asked the Minister for Housing, Local Government and Heritage the number of civil servants in his Department, and in agencies under the aegis of his Department, who were on career break in 2023 or 2024, by month and grade, and by length of career break; the number of civil servants in his Department and in agencies under the aegis of his Department who were on career break for longer than five years or longer than six years in 2023 or 2024, by month, grade, and length of career break, in tabular form; and if he will make a statement on the matter. [46194/24]",,,,
WPQG017,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_679,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_708,708,2025-01-22,Michael Fitzmaurice,Housing,"708. Deputy Michael Fitzmaurice asked the Minister for Housing, Local Government and Heritage to provide an assurance that no civil servant has had their career break extended beyond five years where there is a suitable vacancy in their home Department or agency; that, where a civil servant has had their career break extended beyond five years on account of there being no suitable vacancy in their home Department or agency, that they have been placed on a redeployment panel; that, where a civil servant has had their career break extended beyond six years, consideration has been given to facilitating them on a supernumerary basis; and if he will make a statement on the matter. [46230/24]",,,,
WPQG018,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_785,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_838,838,2025-01-22,Mairéad Farrell,Social,"838. Deputy Mairéad Farrell asked the Minister for Social Protection the average waiting times for applications for disability allowance, carer's allowance and appeals; the work her Department has undertaken to reduce these waiting times; and if she will make a statement on the matter. [46176/24]",,,,
WPQG001,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_10,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_9,9,2025-01-22,Carol Nolan,Taoiseach,"9. Deputy Carol Nolan asked the Taoiseach to provide details of all projects, including research projects, funded to date by his Department’s shared island initiative. [1529/25]",,,,
WPQG019,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_853,https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_911,911,2025-01-22,Mairéad Farrell,Justice,911. Deputy Mairéad Farrell asked the Minister for Justice if she has been made aware of access issues with the new online immigration application system; if there are plans to address these issues; and if in-person appointments will be re-instated for those who cannot use the online system. [46177/24],,,,
WPQG020,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/dbsect_1008,https://data.oireachtas.ie/ie/oireachtas/question/2025-02-05/pq_1103,1103,2025-02-05,Gary Gannon,Health,"1103. Deputy Gary Gannon asked the Minister for Health the measures she will take to ensure that preventative healthcare services, such as sufficient provision of public health nurses, are adequately resourced to safeguard the health and well-being of children and families in the future. [2411/25]",,,,
WPQG021,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/dbsect_1238,https://data.oireachtas.ie/ie/oireachtas/question/2025-02-05/pq_1332,1332,2025-02-05,David Cullinane,Health,"1332. Deputy David Cullinane asked the Minister for Health the number of assaults recorded against patients at HSE facilities for each January and December for each of the years 2019 to 2025, in tabular form. [3489/25]",,,,
WPQG022,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-25/writtens/dbsect_666,https://data.oireachtas.ie/ie/oireachtas/question/2025-02-25/pq_799,799,2025-02-25,James O'Connor,Children,"799. Deputy James O'Connor asked the Minister for Children, Equality, Disability, Integration and Youth the meetings that took place between the departmental unit with responsibility for IPAS and BOTP contracts and the company in ownership of the IPAS centre at a location (details supplied); if the schedule of these meetings and all correspondence between the operator and the integration unit of the Department of Justice in relation to IPAS accommodation and BOTP accommodation at the same location will be provided; and if she will make a statement on the matter. [7928/25]",,,,
WPQG023,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-04/writtens/dbsect_450,https://data.oireachtas.ie/ie/oireachtas/question/2025-03-04/pq_537,537,2025-03-04,Matt Carthy,Justice,537. Deputy Matt Carthy asked the Minister for Justice the units and divisions that operate within his Department; the bodies under its aegis; the contact information of each; and if he will make a statement on the matter. [9773/25],,,,
WPQG024,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-05/writtens/dbsect_215,https://data.oireachtas.ie/ie/oireachtas/question/2025-03-05/pq_208,208,2025-03-05,Claire Kerrane,Health,208. Deputy Claire Kerrane asked the Minister for Health if she intends to increase the number of rounds of IVF for couples without children; and if she will make a statement on the matter. [10136/25],,,,
WPQG026,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/dbsect_891,https://data.oireachtas.ie/ie/oireachtas/question/2025-03-19/pq_1094,1094,2025-03-19,Fionntán Ó Súilleabháin,Justice,"1094. Deputy Fionntán Ó Súilleabháin asked the Minister for Justice the total cost for the fixed speed camera on the R772 to date, providing a full breakdown of costs including installation fee, materials, and so on; and if he will make a statement on the matter. [10690/25]",,,,
WPQG025,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/dbsect_1528,https://data.oireachtas.ie/ie/oireachtas/question/2025-03-19/pq_1788,1788,2025-03-19,Paul Murphy,Health,"1788. Deputy Paul Murphy asked the Minister for Health if she is aware of the understaffing in the healthcare system, specifically in terms of mental-health support, leaving some waiting for services for extended periods of time; if she will instruct her Department to address this issue; and if she will make a statement on the matter. [12035/25]",,,,
WPQG027,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-25/writtens/dbsect_431,https://data.oireachtas.ie/ie/oireachtas/question/2025-03-25/pq_644,644,2025-03-25,Claire Kerrane,Children,"644. Deputy Claire Kerrane asked the Minister for Children, Equality, Disability, Integration and Youth the supports to be provided to alleviate the financial and administrative burden the regulatory notice for school age services, issued on the 7 February 2025, places on service providers, especially school based school-aged childcare services; and if she will make a statement on the matter. [13396/25]",,,,
WPQG027,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-25/writtens/dbsect_431,https://data.oireachtas.ie/ie/oireachtas/question/2025-03-25/pq_645,645,2025-03-25,Claire Kerrane,Children,"645. Deputy Claire Kerrane asked the Minister for Children, Equality, Disability, Integration and Youth if she is aware that children who start school at 4 years-of-age are permitted to attend in the 1:12 ratio, whereas children who may be 5.5 years-of-age who have not started school will not be permitted to attend at all without an early learning and care registration and a 1:8 ratio; if she will consider dropping the school-aged childcare (SAC services) ratio to 1:8 for children under 6 years-of-age, permitting children who have completed their ECCE programme to move in to SAC services for the eight weeks of the summer holidays; and if she will make a statement on the matter. [13397/25]",,,,
WPQG028,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-01/writtens/dbsect_536,https://data.oireachtas.ie/ie/oireachtas/question/2025-04-01/pq_668,668,2025-04-01,Peadar Tóibín,Children,"668. Deputy Peadar Tóibín asked the Minister for Children, Equality, Disability, Integration and Youth if she will outline Tusla’s separation policy in instances where multiple siblings from a family are in State care in separate foster or residential placements; and specifically, if she will detail what steps it takes to ensure that biological siblings in different placements have access to one another, or access to their birth mother or father at the same time as one another; and if she will make a statement on the matter. [15642/25]",,,,
WPQG029,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-01/writtens/dbsect_689,https://data.oireachtas.ie/ie/oireachtas/question/2025-04-01/pq_820,820,2025-04-01,Pádraig Rice,Health,820. Deputy Pádraig Rice asked the Minister for Health the basis for the HSE’s current definition of perinatal mortality rate for the purposes of inclusion on maternity patient safety statements (details supplied); the body that agreed this definition; the reason for this limited definition; and if she will make a statement on the matter. [15769/25],,,,
WPQG030,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-08/writtens/dbsect_893,https://data.oireachtas.ie/ie/oireachtas/question/2025-04-08/pq_1014,1014,2025-04-08,Pádraig Rice,Health,"1014. Deputy Pádraig Rice asked the Minister for Health the number of persons on a waiting list for a mammogram, by site, wait time and referral type (details supplied), in tabular form. [17508/25]",,,,
WPQG031,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-29/writtens/dbsect_1391,https://data.oireachtas.ie/ie/oireachtas/question/2025-04-29/pq_1610,1610,2025-04-29,Conor Sheehan,Justice,"1610. Deputy Conor Sheehan asked the Minister for Justice the names of projects within Limerick Garda division that received funding under Community Safety Innovation Fund in 2024; and he amount received per project, in tabular form. [20251/25]",,,,
WPQG032,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-29/writtens/dbsect_1547,https://data.oireachtas.ie/ie/oireachtas/question/2025-04-29/pq_1788,1788,2025-04-29,Matt Carthy,Children,"1788. Deputy Matt Carthy asked the Minister for Children, Equality, Disability, Integration and Youth the mechanism by which a person can seek to avail of mechanisms of the Decision Support Service in emergency circumstances; and if she will make a statement on the matter. [18579/25]",,,,
WPQG032,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-29/writtens/dbsect_1547,https://data.oireachtas.ie/ie/oireachtas/question/2025-04-29/pq_1789,1789,2025-04-29,Matt Carthy,Children,"1789. Deputy Matt Carthy asked the Minister for Children, Equality, Disability, Integration and Youth the targeted average processing time for decision support arrangements and enduring powers of attorney activated via the Decision Support Service; the average processing time in the years 2023 to date, by year, in tabular form; and if she will make a statement on the matter. [18580/25]",,,,
WPQG032,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-29/writtens/dbsect_1547,https://data.oireachtas.ie/ie/oireachtas/question/2025-04-29/pq_1790,1790,2025-04-29,Matt Carthy,Children,"1790. Deputy Matt Carthy asked the Minister for Children, Equality, Disability, Integration and Youth the options open to a person looking to avail of the services of the Decision Support Service to whom online services are not practically available; and if she will make a statement on the matter. [18582/25]",,,,
WPQG033,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-29/writtens/dbsect_544,https://data.oireachtas.ie/ie/oireachtas/question/2025-04-29/pq_630,630,2025-04-29,Catherine Ardagh,Public Expenditure,"630. Deputy Catherine Ardagh asked the Minister for Public Expenditure, National Development Plan Delivery and Reform the total number of vacant OPW-owned buildings in County Kildare on 1 April in the years 2023 and 2024, in tabular form; and if he will make a statement on the matter. [19055/25]",,,,
WPQG034,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-05-07/writtens/dbsect_432,https://data.oireachtas.ie/ie/oireachtas/question/2025-05-07/pq_441,441,2025-05-07,Joe Cooney,Health,"441. Deputy Joe Cooney asked the Minister for Health the total number of nursing home beds in county Clare in 2022, 2023, 2024; broken down by HSE provided, HSE funded under sections 38 and 39 of the Health Act 2004, and privately provided, in tabular form.’ [22171/25]",,,,
WPQG035,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-05-20/writtens/dbsect_599,https://data.oireachtas.ie/ie/oireachtas/question/2025-05-20/pq_740,740,2025-05-20,Pádraig Rice,Agriculture,"740. Deputy Pádraig Rice asked the Minister for Agriculture, Food and the Marine if his attention has been drawn to the mistreatment of horses in Clonmel, County Tipperary (details supplied); the steps he is taking to ensure that those who are responsible for this cruelty are held accountable; and if he will make a statement on the matter. [25943/25]",,,,
WPQG036,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-05-28/writtens/dbsect_339,https://data.oireachtas.ie/ie/oireachtas/question/2025-05-28/pq_368,368,2025-05-28,Ken O'Flynn,Health,"368. Deputy Ken O'Flynn asked the Minister for Health if she will consider approving coverage for a type of treatment (details supplied) as a matter of urgency, given the potentially life-saving impact; whether she intends to provide funding for vyloy through the HSE, or under the medical card scheme, for cases where it is clinically indicated; and if she will make a statement on the matter. [27783/25]",,,,
WPQG039,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/dbsect_1198,https://data.oireachtas.ie/ie/oireachtas/question/2025-06-10/pq_1375,1375,2025-06-10,Joe Cooney,Health,"1375. Deputy Joe Cooney asked the Minister for Health the number of WTE consultants in emergency medicine based at the Mater University Hospital, Tallaght University Hospital, Beaumont Hospital, St. James’s Hospital, St. Vincent’s Hospital, University Hospital Galway, Cork University Hospital and University Hospital Waterford, in the years of 2023, 2024 and to date in 2025, in tabular form. [29431/25]",,,,
WPQG037,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/dbsect_100,https://data.oireachtas.ie/ie/oireachtas/question/2025-06-10/pq_158,158,2025-06-10,Barry Heneghan,Climate,"158. Deputy Barry Heneghan asked the Minister for Climate, Energy and the Environment the current status of legislative and regulatory measures aimed at enabling private wire connections between renewable energy generators and end-users; if he will detail any interdepartmental workstreams or stakeholder consultations that have taken place since the last update to Dail Éireann; the indicative timeline for implementation, given the urgency of improving grid access for renewable energy projects that are essential to meeting Ireland’s climate and housing targets; and if he will make a statement on the matter. [30260/25]",,,,
WPQG038,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/dbsect_115,https://data.oireachtas.ie/ie/oireachtas/question/2025-06-10/pq_175,175,2025-06-10,Paul Donnelly,Foreign,175. Deputy Paul Donnelly asked the Tánaiste and Minister for Foreign Affairs and Trade the up-to-date position regarding the free-trade agreement between the EU and Qatar. [29170/25],,,,
WPQG038,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/dbsect_115,https://data.oireachtas.ie/ie/oireachtas/question/2025-06-10/pq_177,177,2025-06-10,Paul Donnelly,Foreign,177. Deputy Paul Donnelly asked the Tánaiste and Minister for Foreign Affairs and Trade the up-to-date position regarding the free-trade agreement between the EU and Saudi Arabia. [29172/25],,,,
WPQG040,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/dbsect_595,https://data.oireachtas.ie/ie/oireachtas/question/2025-06-10/pq_696,696,2025-06-10,Richard Boyd Barrett,Culture,"696. Deputy Richard Boyd Barrett asked the Minister for Culture, Communications and Sport if he is aware that many rural and urban postmasters are reporting that their post offices are under threat of closure due to inadequate funding (details supplied); if he will assure postmasters that he will agree to their union’s demands for increased funding to secure the future of post offices and the employees who work in them; and if he will make a statement on the matter. [30168/25]",,,,
WPQG040,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/dbsect_595,https://data.oireachtas.ie/ie/oireachtas/question/2025-06-10/pq_697,697,2025-06-10,Eoin Ó Broin,Culture,"697. Deputy Eoin Ó Broin asked the Minister for Culture, Communications and Sport if he is aware of the volume of postmaster’s struggling to keep post offices open due to lack of funding; if any action is being considered or is underway in order to sustain the An Post network given the funding issues present; and if he will make a statement on the matter. [30686/25]",,,,
WPQG040,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/dbsect_595,https://data.oireachtas.ie/ie/oireachtas/question/2025-06-10/pq_720,720,2025-06-10,Naoise Ó Muirí,Culture,"720. Deputy Naoise Ó Muirí asked the Minister for Culture, Communications and Sport if he will provide an update on the Programme for Government commitment to support the sustainability of post offices; and if he will make a statement on the matter. [30207/25]",,,,
WPQG040,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-06-10/writtens/dbsect_595,https://data.oireachtas.ie/ie/oireachtas/question/2025-06-10/pq_725,725,2025-06-10,Cian O'Callaghan,Culture,"725. Deputy Cian O'Callaghan asked the Minister for Culture, Communications and Sport if he will provide assistance to post offices which are financially struggling; if he will examine a case (details supplied) where a postmaster is in financial difficulty; and if he will make a statement on the matter. [30512/25]",,,,
WPQG041,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-01/writtens/dbsect_378,https://data.oireachtas.ie/ie/oireachtas/question/2025-07-01/pq_403,403,2025-07-01,John Brady,Education,403. Deputy John Brady asked the Minister for Education and Youth to define explicitly what she deems complex needs as per her use of the term in circular 0039/2025 to special schools. [36079/25],,,,
WPQG041,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-01/writtens/dbsect_378,https://data.oireachtas.ie/ie/oireachtas/question/2025-07-01/pq_411,411,2025-07-01,John Brady,Education,411. Deputy John Brady asked the Minister for Education and Youth who will determine whether a student has MGLD or ‘complex MGLD’ as per her use in the 0039/2025 circular; and if she will make a statement on the matter. [36172/25],,,,
WPQG041,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-01/writtens/dbsect_378,https://data.oireachtas.ie/ie/oireachtas/question/2025-07-01/pq_412,412,2025-07-01,John Brady,Education,412. Deputy John Brady asked the Minister for Education and Youth the additional supports that will be put in place for students with MGLD who may return to mainstream education under her re-designation of special schools; and if she will make a statement on the matter. [36173/25],,,,
WPQG041,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-01/writtens/dbsect_378,https://data.oireachtas.ie/ie/oireachtas/question/2025-07-01/pq_413,413,2025-07-01,John Brady,Education,"413. Deputy John Brady asked the Minister for Education and Youth if she will engage directly with teachers, school leaders and families to consult with them meaningfully before further implementation of re-designation of special schools; and if she will make a statement on the matter. [36174/25]",,,,
WPQG042,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-08/writtens/dbsect_141,https://data.oireachtas.ie/ie/oireachtas/question/2025-07-08/pq_214,214,2025-07-08,Conor D McGuinness,Climate,"214. Deputy Conor D. McGuinness asked the Minister for Climate, Energy and the Environment his expenditure on advertising detailing the objective, duration, media platforms, advertising agency or agencies, and cost of each advertising campaign in each of the years 2015 to 2025. [37026/25]",,,,
WPQG043,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-08/writtens/dbsect_625,https://data.oireachtas.ie/ie/oireachtas/question/2025-07-08/pq_762,762,2025-07-08,Erin McGreehan,Health,"762. Deputy Erin McGreehan asked the Minister for Health the specific triage measures and protocols in place at Our Lady of Lourdes Hospital, Drogheda, County Louth Emergency Department for people attending due to a mental health crisis. [37133/25]",,,,
WPQG044,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_1556,https://data.oireachtas.ie/ie/oireachtas/question/2025-07-29/pq_1845,1845,2025-07-29,Cathal Crowe,Social,"1845. Deputy Cathal Crowe asked the Minister for Social Protection the number of school children who will be in receipt of hot meals from the start of the next school year, by county, in tabular form; and if he will make a statement on the matter. [43201/25]",,,,
WPQG045,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_2257,https://data.oireachtas.ie/ie/oireachtas/question/2025-07-29/pq_2633,2633,2025-07-29,Barry Heneghan,Health,"2633. Deputy Barry Heneghan asked the Minister for Health the steps being taken to fund and implement the hereditary cancer model of care in Ireland, with particular reference to improving genetic testing and surveillance for those at risk of inherited cancers like pancreatic cancer; and if she will make a statement on the matter. [41153/25]",,,,
WPQG046,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_2756,https://data.oireachtas.ie/ie/oireachtas/question/2025-07-29/pq_3135,3135,2025-07-29,Cormac Devlin,Health,3135. Deputy Cormac Devlin asked the Minister for Health the status of major health capital projects planned under the National Development Plan; whether updated timelines and budget allocations will be published as part of the 2025 review; and if she will make a statement on the matter. [43377/25],,,,
WPQG047,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_2932,https://data.oireachtas.ie/ie/oireachtas/question/2025-07-29/pq_3319,3319,2025-07-29,Grace Boland,Further and Higher Education,"3319. Deputy Grace Boland asked the Minister for Further and Higher Education, Research, Innovation and Science the amount spent on legal fees associated with litigation, advice and settlements in each of the past three years by his Department and agencies under its aegis; and if he will make a statement on the matter. [40881/25]",,,,
WPQG048,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_2978,https://data.oireachtas.ie/ie/oireachtas/question/2025-07-29/pq_3379,3379,2025-07-29,Maeve O'Connell,Further and Higher Education,"3379. Deputy Maeve O'Connell asked the Minister for Further and Higher Education, Research, Innovation and Science to report on the progress made in creating an online career guidance and information portal. [42605/25]",,,,
