review_id,debate_section_id,question_date,year,to_minister_or_department,answer_status,grouped_answer,referred_or_direct_reply,embedded_table_count,linked_question_count,answer_chars,section_heading,source_xml_url
WPQG044,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_1556,2025-07-29,2025,Social,ministerial_reply_present,True,False,1,1,1062,School Meals Programme,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/mul@/dbsect_1556.xml
WPQG045,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_2257,2025-07-29,2025,Health,ministerial_reply_present,False,True,0,1,348,Cancer Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/mul@/dbsect_2257.xml
WPQG046,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_2756,2025-07-29,2025,Health,ministerial_reply_present,False,False,0,1,3728,National Development Plan,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/mul@/dbsect_2756.xml
WPQG047,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_2932,2025-07-29,2025,Further and Higher Education,ministerial_reply_present,False,False,1,1,1310,Departmental Legal Cases,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/mul@/dbsect_2932.xml
WPQG048,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_2978,2025-07-29,2025,Further and Higher Education,ministerial_reply_present,True,False,0,2,1903,Departmental Projects,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/mul@/dbsect_2978.xml
WPQG049,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_3068,2025-07-29,2025,Rural,ministerial_reply_present,True,False,0,3,5099,Departmental Data,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/mul@/dbsect_3068.xml
WPQG050,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-09-08/writtens/dbsect_1299,2025-09-08,2025,Justice,ministerial_reply_present,False,False,1,1,936,An Garda Síochána,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-09-08/writtens/mul@/dbsect_1299.xml
WPQG051,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-09-17/writtens/dbsect_350,2025-09-17,2025,Education,ministerial_reply_present,True,False,0,4,1063,School Staff,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-09-17/writtens/mul@/dbsect_350.xml
WPQG052,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-09-23/writtens/dbsect_342,2025-09-23,2025,Culture,ministerial_reply_present,True,False,0,4,814,Sports Funding,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-09-23/writtens/mul@/dbsect_342.xml
WPQG053,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-10-08/writtens/dbsect_274,2025-10-08,2025,Health,ministerial_reply_present,False,False,0,1,7732,Medical Records,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-10-08/writtens/mul@/dbsect_274.xml
WPQG054,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-10-15/writtens/dbsect_313,2025-10-15,2025,Health,ministerial_reply_present,False,True,0,1,125,Dental Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-10-15/writtens/mul@/dbsect_313.xml
WPQG055,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-10-15/writtens/dbsect_76,2025-10-15,2025,Climate,ministerial_reply_present,True,False,0,2,1009,Legislative Measures,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-10-15/writtens/mul@/dbsect_76.xml
WPQG056,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-11-04/writtens/dbsect_1409,2025-11-04,2025,Health,ministerial_reply_present,True,False,0,1,7633,Medical Qualifications,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-11-04/writtens/mul@/dbsect_1409.xml
WPQG057,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-11-04/writtens/dbsect_856,2025-11-04,2025,Culture,ministerial_reply_present,False,False,8,1,4135,Departmental Funding,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-11-04/writtens/mul@/dbsect_856.xml
WPQG058,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-11-13/writtens/dbsect_445,2025-11-13,2025,Health,unresolved_structure,False,False,0,1,0,Departmental Funding,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-11-13/writtens/mul@/dbsect_445.xml
WPQG059,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-12-09/writtens/dbsect_832,2025-12-09,2025,Health,reply_not_received,False,False,0,1,0,Departmental Data,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-12-09/writtens/mul@/dbsect_832.xml
WPQG060,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-12-16/writtens/dbsect_774,2025-12-16,2025,Health,reply_not_received,False,False,0,1,0,Programme for Government,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-12-16/writtens/mul@/dbsect_774.xml
WPQG061,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-12-17/writtens/dbsect_61,2025-12-17,2025,Climate,reply_not_received,False,False,0,1,0,Electricity Grid,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-12-17/writtens/mul@/dbsect_61.xml
WPQG062,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-12-18/writtens/dbsect_441,2025-12-18,2025,Education,ministerial_reply_present,False,False,0,1,3233,School Curriculum,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-12-18/writtens/mul@/dbsect_441.xml
WPQG063,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-01-13/writtens/dbsect_470,2026-01-13,2026,Transport,ministerial_reply_present,True,True,0,1,948,Road Traffic Accidents,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-01-13/writtens/mul@/dbsect_470.xml
WPQG064,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-01-14/writtens/dbsect_181,2026-01-14,2026,Health,ministerial_reply_present,False,True,0,1,125,Dental Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-01-14/writtens/mul@/dbsect_181.xml
WPQG065,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-01-15/writtens/dbsect_465,2026-01-15,2026,Health,ministerial_reply_present,False,True,0,1,146,Immigration Policy,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-01-15/writtens/mul@/dbsect_465.xml
WPQG066,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-02-12/writtens/dbsect_207,2026-02-12,2026,Education,ministerial_reply_present,False,False,0,1,5199,School Facilities,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-02-12/writtens/mul@/dbsect_207.xml
WPQG067,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-02-17/writtens/dbsect_315,2026-02-17,2026,Finance,ministerial_reply_present,True,False,0,1,2226,Banking Sector,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-02-17/writtens/mul@/dbsect_315.xml
WPQG068,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-02-19/writtens/dbsect_418,2026-02-19,2026,Justice,ministerial_reply_present,False,False,6,1,7340,International Protection,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-02-19/writtens/mul@/dbsect_418.xml
WPQG069,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-02-24/writtens/dbsect_515,2026-02-24,2026,Social,ministerial_reply_present,False,False,0,1,142,Social Welfare Benefits,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-02-24/writtens/mul@/dbsect_515.xml
WPQG070,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-02-24/writtens/dbsect_661,2026-02-24,2026,Children,ministerial_reply_present,True,True,0,1,220,Child and Family Agency,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-02-24/writtens/mul@/dbsect_661.xml
WPQG071,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-03-18/writtens/dbsect_1755,2026-03-18,2026,Health,ministerial_reply_present,False,True,0,1,104,Hospital Staff,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-03-18/writtens/mul@/dbsect_1755.xml
WPQG072,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-03-24/writtens/dbsect_687,2026-03-24,2026,Health,ministerial_reply_present,False,True,0,1,534,Departmental Correspondence,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-03-24/writtens/mul@/dbsect_687.xml
WPQG073,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-04-14/writtens/dbsect_1439,2026-04-14,2026,Justice,ministerial_reply_present,True,False,0,2,69,Departmental Funding,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-04-14/writtens/mul@/dbsect_1439.xml
WPQG074,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-04-14/writtens/dbsect_1661,2026-04-14,2026,Agriculture,ministerial_reply_present,False,True,0,1,208,Grant Payments,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-04-14/writtens/mul@/dbsect_1661.xml
WPQG075,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-04-14/writtens/dbsect_2583,2026-04-14,2026,Health,reply_not_received,False,False,0,1,0,Health Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-04-14/writtens/mul@/dbsect_2583.xml
WPQG076,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-04-21/writtens/dbsect_711,2026-04-21,2026,Health,ministerial_reply_present,False,True,0,1,136,Disability Issues,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-04-21/writtens/mul@/dbsect_711.xml
WPQG077,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-04-22/writtens/dbsect_173,2026-04-22,2026,Agriculture,unresolved_structure,False,False,0,1,0,Forestry Sector,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-04-22/writtens/mul@/dbsect_173.xml
WPQG078,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-04-28/writtens/dbsect_594,2026-04-28,2026,Justice,ministerial_reply_present,True,False,0,3,5979,Family Law Cases,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-04-28/writtens/mul@/dbsect_594.xml
WPQG079,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-06/writtens/dbsect_685,2026-05-06,2026,Health,ministerial_reply_present,False,True,0,1,146,Health Service Executive,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-06/writtens/mul@/dbsect_685.xml
WPQG080,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-06/writtens/dbsect_698,2026-05-06,2026,Health,ministerial_reply_present,False,True,0,1,136,Departmental Data,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-06/writtens/mul@/dbsect_698.xml
WPQG081,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-06/writtens/dbsect_848,2026-05-06,2026,Health,ministerial_reply_present,False,True,0,1,145,Departmental Data,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-06/writtens/mul@/dbsect_848.xml
WPQG082,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-12/writtens/dbsect_191,2026-05-12,2026,Transport,ministerial_reply_present,True,True,0,1,927,Traffic Management,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-12/writtens/mul@/dbsect_191.xml
WPQG083,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-12/writtens/dbsect_337,2026-05-12,2026,Enterprise,unresolved_structure,False,False,0,1,0,Departmental Bodies,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-12/writtens/mul@/dbsect_337.xml
WPQG084,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-12/writtens/dbsect_697,2026-05-12,2026,Children,ministerial_reply_present,False,False,0,1,4544,Childcare Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-12/writtens/mul@/dbsect_697.xml
WPQG085,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-14/writtens/dbsect_454,2026-05-14,2026,Health,ministerial_reply_present,True,True,0,13,243,National Treatment Purchase Fund,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-14/writtens/mul@/dbsect_454.xml
WPQG086,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-19/writtens/dbsect_403,2026-05-19,2026,Housing,ministerial_reply_present,True,False,0,1,1443,Departmental Bodies,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-19/writtens/mul@/dbsect_403.xml
WPQG087,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-26/writtens/dbsect_1064,2026-05-26,2026,Health,ministerial_reply_present,False,False,0,1,105,Health Promotion,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-26/writtens/mul@/dbsect_1064.xml
WPQG088,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-28/writtens/dbsect_569,2026-05-28,2026,Health,reply_not_received,True,False,0,1,0,Healthcare Policy,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-05-28/writtens/mul@/dbsect_569.xml
WPQG089,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-09/writtens/dbsect_51,2026-06-09,2026,Defence,ministerial_reply_present,False,False,0,1,3515,Defence Forces,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-09/writtens/mul@/dbsect_51.xml
WPQG090,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-16/writtens/dbsect_227,2026-06-16,2026,Transport,ministerial_reply_present,False,True,0,1,644,Greenways Provision,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-16/writtens/mul@/dbsect_227.xml
WPQG091,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-18/writtens/dbsect_496,2026-06-18,2026,Health,ministerial_reply_present,False,True,0,1,136,Dental Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-18/writtens/mul@/dbsect_496.xml
WPQG092,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-23/writtens/dbsect_170,2026-06-23,2026,Defence,ministerial_reply_present,False,False,1,1,1485,Departmental Expenditure,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-23/writtens/mul@/dbsect_170.xml
WPQG093,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-23/writtens/dbsect_617,2026-06-23,2026,Health,reply_not_received,False,False,0,1,0,Health Services,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-23/writtens/mul@/dbsect_617.xml
